id,parent_id,order,unit_type,source_local_ids,source_path,line_start,line_end,source_sha256,translation_state,rights_component_ids
6dd33049-d188-59dd-8cd1-cae32f6399af,a485ca16-e7af-5fc9-a661-2481b3a87b29,1030,worked_example,"[""R011-B012""]",ch_probability/TeX/ch_probability.tex,1765,1769,7626505d86c48b95d8ff17503a5e5e8f45388f1010134759ff149a077a4b7f12,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""f5cfd01e-9712-58ec-ac48-481f923814c1""]"
6e4e8c2c-e78c-58d3-afef-7c55af54eb37,193a93a2-5f42-56b5-a579-7a4c8b028e6d,1,subsection,"[""R011-B010"",""exploring-probabilities-with-contingency-tables""]",ch_probability/TeX/ch_probability.tex,703,814,7ca458f161fe0f63ab7956d7711d2315a68a0abd0799e9ab907bcce5d5f11236,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
6e9dc374-9378-5c52-b2ae-88d498bcec17,49ca843c-e79c-5858-96ba-34396dd18ae6,1,solution,"[""% 21"",""eoce_sol_1_21"",""R011-B003""]",extraTeX/eoceSolutions/eoceSolutions.tex,97,105,c24a97fd3cda692d9f43e6a1e76811873a2bfdb4c7bbeec2c5578b96e5a61051,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
6f102af0-0e7f-5a14-9f29-8abb91c6cd56,fbe8307c-8576-5fc9-9d86-4ffff1359550,1,companion_gap,"[""O001"",""eoce_2_8"",""R011-B005""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
6f83dd5f-f193-5e7a-b366-f24ab038d7b0,9c3f7c19-0f6c-5060-9c70-d8585ba33850,1,companion_gap,"[""O001"",""eoce_1_32"",""R011-B004""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
6fd54b2a-6a51-5f71-8a7b-fd2a10a6ab5d,60a2cb71-2aa1-5917-9379-f7f55474c01a,38,exercise,"[""city_council_survey"",""eoce_1_38"",""R011-B004R""]",ch_intro_to_data/TeX/review_exercises.tex,80,110,4f4a365b1c5a32b9996bab7009cef01bb98db0a0865b8958ca5d7125f39fd05f,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
70513049-5725-57fb-a5c9-ffede960b3bf,bac586bc-5065-5e98-a3ae-8376ff0851ac,3013,exercise,"[""R011-B015"",""4.13"",""eye_color_geometric""]",ch_distributions/TeX/geometric_distribution.tex,31,44,74e6f69db893c8244eaa6e0d8aed3f6e1f4365da4a8e759090bcc11bd81bdf13,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""586d1610-5f32-5232-ba50-6e2a04daf45a""]"
707e8d53-4207-52a4-a923-b2d4cf2c30f2,15f81b0c-78ca-5960-91c0-843fee978ca9,1,solution,"[""R011-B015""]",ch_distributions/TeX/ch_distributions.tex,1209,1215,c34328853252b313323be6bab92f9fb5df471ec4d8cb412f082e8c1b75ce8c98,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""586d1610-5f32-5232-ba50-6e2a04daf45a""]"
708fb94d-36a9-54fc-a0a4-13ae6a5bb4cf,697eee11-37f2-5f2e-8492-16a070ccd069,11,guided_exercise,"[""R011-B009"",""ch03-sec3.1-11""]",ch_probability/TeX/ch_probability.tex,423,427,7a716a06da292fe970c406519fdcd7e168dbd5785488224863946cff9447d7ab,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
70f34cf6-8094-557c-aa8c-9c95a3542dbe,59be9434-bd25-56d6-a333-e201b801b459,1,solution,"[""R011-B014""]",ch_distributions/TeX/ch_distributions.tex,465,467,73a1f37eac5f182d3397739dae4f40a24e8733f52e7ff31220ecfdcf61a625bb,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""5013dc5b-3a29-5516-9948-98c064aa43e8""]"
