exercise_id,source_local_ids,answer_availability,answer_id,o001_gap_id,source_path,translation_state,rights_component_ids
008a3bd4-069a-5cc2-bea8-bf1d9a41d834,"[""sampling_strategies"",""eoce_1_27"",""R011-B003""]",public_appendix,d6274bc8-d45e-51f1-91e8-38da3bbe4007,,ch_intro_to_data/TeX/sampling_principles_and_strategies.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0135feda-7bfb-5aa7-b3cb-0ad3ada718b2,"[""association_plots"",""eoce_2_2"",""R011-B005""]",none_public_upstream,,855eddee-573a-572b-941a-4da454b53d74,ch_summarizing_data/TeX/examining_numerical_data.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0191df4f-413d-5623-9944-e2376020b3c5,"[""midrange"",""eoce_2_18"",""R011-B005""]",none_public_upstream,,129477af-ab5f-54b9-8130-f930b61310ca,ch_summarizing_data/TeX/examining_numerical_data.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
01ab1464-7aac-5927-87c5-eb0cf416259a,"[""R011-B009"",""ch03-sec3.1-07""]",,,,ch_probability/TeX/ch_probability.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
01e2b504-cd69-5b62-a16d-5c19310ba737,"[""R011-B011"",""3.23"",""marbles_in_urn""]",public_appendix,93046933-8e02-5f54-bd55-1ba308a95745,,ch_probability/TeX/sampling_from_a_small_population.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b8ee2bc6-8b07-51f4-8124-2fd462cd606b""]"
02302d8f-e0e5-5bad-bf2a-e4258998fbe9,"[""R011-B016"",""4.21"",""dreidel""]",public_appendix,67b01e00-b2fc-57fd-8ab6-2748c5a69345,,ch_distributions/TeX/binomial_distribution.tex,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""d79c0e4f-9e37-5e77-9080-34fed0852af2""]"
02e4f013-6bce-52d8-a54b-02860c939510,"[""R011-B009"",""ch03-sec3.1-06""]",,,,ch_probability/TeX/ch_probability.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0695707a-cdef-560a-8fdf-4fd21111e7a6,"[""R011-B019"",""5.2"",""identify_parameter_2""]",no_public_answer_o001_gap,,608e8f83-cf61-502d-9d2d-1f9608673adb,ch_foundations_for_inf/TeX/variability_in_estimates.tex,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""2339d6ba-af30-5b38-86fe-8300dda0b66b""]"
089a1c0f-be6b-55c7-889c-45c6aa156692,"[""infant_mortality"",""eoce_2_28"",""R011-B008""]",none_public_upstream,,6a258b93-849d-54a4-a975-577311e28a44,ch_summarizing_data/TeX/review_exercises.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
09615ad9-b250-53c0-9814-d60b7f700fc3,"[""county_commute_times"",""eoce_2_19"",""R011-B005""]",public_appendix,48408c78-fc77-5a5e-a880-0f7dfcbed0f1,,ch_summarizing_data/TeX/examining_numerical_data.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0a3f7f55-f998-5dbf-a8fa-b4e9a54dd5c4,"[""R011-B019"",""5.5"",""repeated_water_samples_prop""]",upstream_public_answer,e3488ac4-0157-5341-9320-f10052fcc8b5,,ch_foundations_for_inf/TeX/variability_in_estimates.tex,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""2339d6ba-af30-5b38-86fe-8300dda0b66b""]"
0ae36ce3-f957-500f-936c-0cd84b0d0091,"[""R011-B020"",""5.8"",""twitter_users_intro""]",no_public_answer_o001_gap,,72b39c1a-2a59-5d41-b2f0-30a7a117e1ac,ch_foundations_for_inf/TeX/confidence_intervals.tex,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""0af7d341-14fc-5fd0-a88a-6d753a22639e""]"
0ae4d0a7-e336-5050-9c0f-81ec643541a2,"[""R011-B013""]",none_public_upstream,,a1c4b57f-f95e-5031-84d1-80e1c90b1c28,ch_probability/TeX/continuous_distributions.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b410ecf6-7942-5337-9e18-e09c9e84783d""]"
0ba84ffe-8cd7-5585-8f97-da033f6aa698,"[""R011-B022"",""6.7"",""fireworks_CI_concept""]",upstream_public_answer,7e1c33e9-8977-5e7e-bd88-fdde30072faa,,ch_inference_for_props/TeX/inference_for_a_single_proportion.tex,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""42e21f32-ce64-55c7-b9f8-04eaad367833""]"
0bdb3ffe-12b6-5636-830d-79197bfc7f65,"[""R011-B011"",""raffleOf30TicketsWWOReplacement""]",inline_public_feedback,9bce34fa-59e4-5d7c-b126-0ba4f7961036,,ch_probability/TeX/ch_probability.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b8ee2bc6-8b07-51f4-8124-2fd462cd606b""]"
0c15d1e6-cc3a-5b85-9c5e-028f9f39d588,"[""study_components_stealers"",""eoce_1_6""]",none_public_upstream,,97b5aaa8-b5cf-54b2-b80b-b10fb60038ba,ch_intro_to_data/TeX/data_basics.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0d957054-0554-577a-92d1-377a4b85a764,"[""R011-B023"",""6.28"",""prenatal_vitamin_autism_HT""]",no_public_answer_o001_gap,,1cfd7579-ebaf-59c7-affb-ced041c60f9a,ch_inference_for_props/TeX/difference_of_two_proportions.tex,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""a6e32195-1507-50f4-a3a0-88884cb47648""]"
0e393b3e-d85a-5b59-889a-64d03062fba2,"[""R011-B017"",""guided-exercise-03""]",inline_public,233b3535-6d53-5304-af66-4216d50f51ab,,ch_distributions/TeX/ch_distributions.tex,visually_checked,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""69574f5b-e113-5529-9d72-6ebfd1501a86""]"
0f31ef05-8651-5e86-9185-b5d10b8fda5d,"[""scope_cheaters"",""eoce_1_14"",""R011-B003""]",none_public_upstream,,93119707-aaa6-5816-a5ea-c6e32e610a32,ch_intro_to_data/TeX/sampling_principles_and_strategies.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0fa1975d-b6d4-524e-b068-1cdf25486aac,"[""R011-B011"",""3.24"",""socks_in_drawer""]",none_public_upstream,,f0e7ea2d-2d5b-588f-9c7b-68b29f472d20,ch_probability/TeX/sampling_from_a_small_population.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b8ee2bc6-8b07-51f4-8124-2fd462cd606b""]"
0fe007c9-8e05-5b33-ac63-e0941b0bb9df,"[""flawed_reasoning"",""eoce_1_39"",""R011-B004R""]",public_appendix,2b26a40e-e53d-5697-9e81-9dd25b95261f,,ch_intro_to_data/TeX/review_exercises.tex,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
108fb25f-124d-5207-ad62-c21b11efb8fb,"[""R011-B009"",""roulette_wheel""]",none_public_upstream,,eb907e1e-ab6f-5965-913c-4a23f79501a1,ch_probability/TeX/defining_probability.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
10af6542-fd2c-526e-9043-03ee39c0bdfe,"[""R011-B009"",""ch03-sec3.1-14""]",,,,ch_probability/TeX/ch_probability.tex,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
