id,relation_type,from_id,to_id,qualifier,order
002d00a7-9ef3-5bd3-884e-91425ae0d4b5,localizes,6cd7decc-0f9b-5cd5-b358-0ea4b2df2206,99f8c42c-33e3-534c-8107-87397904a03a,id-ID terminal localization,126
0034f8fe-6d95-5674-ab84-a334ed7d381f,covers,d6bc141e-6711-5056-8884-ed04d528fe5f,f4b91430-061a-5309-b1bd-edb751786e82,Section 5.1 concept coverage,162
0040aaa3-11d1-53f0-be12-dd70b26c2403,produces,86c70769-65c3-5032-ad68-8c35a059e0fe,d0ae6f9b-d896-5f01-ba4b-9dfe4ad9ecda,deterministic localized figure/producer pair,80
0055aef5-a9a0-5b9f-961f-1d5f5a2ee57c,localizes,7cd0de8f-87a7-5fdc-be0e-617a2ca33b43,9a8cdeaf-f848-5471-b036-7aa35664e115,id-ID localization,16
007c7db1-13a6-5847-baf4-d045c84b3efa,contains,52bf0186-4674-569a-b8c7-783489172959,2f165309-bbfe-5e5d-8291-127fd5edacf7,unit contains source segment,130
008b137c-d3f4-5ae5-a6d1-3c521447b8ef,prerequisite,716f7dd9-b47c-5656-b3ce-5c188544c5ee,6e94ffd4-18e9-5fa4-974f-4989cbd1c327,locale-neutral mathematical prerequisite,253
00a6fa58-9bda-52cf-a1ff-dcad60010eae,localizes,eed8c195-32c2-5283-af09-7b4acc6befee,f6b7d704-2c06-5522-a86c-458698bf818a,id-ID localization,7
00bdf767-35d4-59ef-beba-71be09d91002,localizes,13702f1d-c113-52f1-9b83-4b808647daa7,b4885c3b-2061-5a17-89a3-83fc0732cef9,terminal id-ID localization,131
00fa4caf-2a64-591f-bb61-e06e5263e5aa,lexicalizes,90d95d9e-e5e0-566c-8e4b-e7bda9d1ccf4,3b31a5be-337d-53a7-af05-f8191958625e,id-ID controlled term,188
00fc738c-a652-536e-b436-54232f5a8037,exercises,3f62bfe2-5a2e-5441-86ab-c703b5da5e32,534b83d0-a5d0-573a-987d-f2e6634f18ed,chapter review concept index,5
0138cfb2-4080-535e-ae71-420a0c75d380,contains,55052df6-d488-53ed-8f4c-e0bb4a894836,531f333e-3853-56b8-afc5-1ed347d86202,unit contains source segment,128
013e6cc6-988d-5779-81ec-16faa3ce8625,documents,ed956a75-4aa3-5ecd-aa81-184a4a2980a8,92815efc-346e-54a2-b6a5-b448656dafe4,deterministic_build_qa,15
014369b1-a2f5-5bb7-a852-6e98a141dd88,exercises,8d6c63f9-60c2-562b-84f3-86db59a7d01e,76cf85fd-64f2-5d14-91dd-349923716d5a,chapter review concept index,4
0150a2bf-b3ed-5b12-8fbb-7847e98c1c86,contains,12e0f174-2d4f-5b85-8270-8cf241d02f42,de51ce11-a679-5af1-bc9f-40f2b6673cf0,,1
01677dd8-6eb6-5844-96e8-8c64cfc5b67a,corrects,ae0d26be-447f-5c37-a2da-ad5e291d4eab,6c1dd36c-f3f2-5b99-b629-a5100d9fbb85,localized derivative correction,1
0168de69-bed2-59ed-958f-0e35323f2e11,localizes,fb2a1da0-e33c-5a83-a21a-17edae488d26,0073b303-a27c-5e24-bb18-3f13ac0b3f96,en to id-ID exact terminal mapping,1
