asset_id	source_r_bytes	source_r_sha256	source_pdf_bytes	source_pdf_sha256	candidate_r_bytes	candidate_r_sha256	candidate_pdf_bytes	candidate_pdf_sha256	numeric_tokens_preserved	page_geometry_preserved
BreastCancerTreeDiagram	414	71724e847d8d3ded1f8f87a9d8aa96e324c84863519f299540ddd325861ff076	4442	cd70daeba274942b81cd48bcccdfabfa1bbb1a3273880988659ec3bdb82e8bdc	417	d3d8c39fda20f77873b1cdccc25cc848cd9f568a9b8b460100d95617ef5d3e22	4535	9a3f8b09b58046918bc5fc5788b0bd1cd4b6144949bf0805103384dc11af2aa6	true	true
photoClassifyVenn	773	06fe1ac62cbe09c1a125f931559ef8c05a162e7ab83141b5cc57be421be852aa	4802	2451736277dca3a1852e2d3b5c9b34ff7d75552f619f183f6d47f26647fef5c0	772	1e8f237197949da8918f179053e8bf254405e0e267a401d72baf18312b672262	4915	20e66f0e77f992e6ef9f3f3ac27875b843abfee4762e3e71721e80e41c42b65e	true	true
smallpoxTreeDiagram	402	44fb9930c356e4385602719680880f368f675488068864d9cdb0c209d73e0a85	4445	e2b2e01b64f9fe2da54ba5e0b29735dc8dd9b4c4b3c2641e028c6ac863b673f6	407	574ea7965fbbada2190fdd77f8359fc355ece782e9ab2c18d94aa070561cc5b1	4545	f90336e19eeed6a84c7be89c3e5a315ddc994729402d68bdaef71548b80b3b67	true	true
testTree	375	b66dfbf8cdcfd84ec0b592ee51911959aabaf9b2c2d9a608d3c366450dead5fc	4412	ee145ace8aa8d524aea1f7685745b37420cc3aee5d3e6ec70b1ea0ed2c30b60c	373	f743865b363fbaed2b1ac7242e47aafbd538f602dc15bbfe4918604c0db6cf85	4507	98fcd70f217945178ca7b791932618a41f84ddaa568972da1f9659e141ccaad3	true	true
treeDiagramAndPass	417	2d857ded7ad8d8de745c28635f663eea4a10360b336c9fca36880324d20e9198	4484	28565782d67daa3b68290c555859dddc53fc5caf243cdcef36824718c22439c5	423	87424b1ffd3fedbf3491b60420b6da6afc48f93988a5ee9e0d244d5dd0ee0a6f	4566	779ab696fcaedab81cf93f1cac0e358b5d2718aee4c15f15811be25d8495c5f8	true	true
treeDiagramGarage	453	bb6d4b4ac8e4f9205c78804a13c5f152991b6ddcfcd8898fe7a9cd7948a24780	4578	f4368ee5169b37a6e83d73348f35a05f488c2985017d4b8736e7b0face1459dc	458	5c9b9624236b6028cac0f121675d032f2b7a7a08c3c8bf9a5b001c15d0776962	4660	8c3291a804fbe3af57bca026905fec1dc8ea04189b5994899c8153b6f5d85d3b	true	true
tree_drawing_box_plots	443	fbb3f706bd596a1f0153a049c7ef7c3285996ae3b7dc1c772c2f8145db3813e9	4454	8ddf9bc83193c4196e81a9a729c9183829da00f147baec38ed900b1e06ad7245	347	21a230621e091583a83af660ea87912bf3eb5cfd64259bb11f11151cb99e0371	4545	131619ded9f47c00680bf9e0a26ecac1be12c29fa63b43b005245d6cd1d7c694	true	true
tree_lupus	436	a9d8223c48c0977c431e08946a0f91cf01097d95b24fc22d685f376fca5cb912	4424	6eec693d5df94876f304865ea7c90935952b2dba9ed24d750b6a0fec7de92185	335	91fbbde93931f8f90b9d5ed39b9b78a6dac8bd777fafa05822ee2b78b283915c	4514	597bfe0665e7058af2683df04dabece0d5477c14c00374291e22889fee5ad002	true	true
