page	text_sha256	characters	word_tokens	english_heuristic_tokens	indonesian_heuristic_tokens	forbidden_matches	heuristic_suspect	untranslated_instructional_or_exercise_prose
102	87e58d185fcf66803a2461d0381a02914cc2643becbad3b6dc0e7b32ebdcc4fd	3946	383	2	87	[]	False	False
103	7e7c4b15f089a30caa9a1edfe06dae1956c7bb64052f512350bea3ae137126b2	3853	292	6	59	[]	False	False
104	28a7ace73522ffe353161dc50ea23648cfccd9dc9271e3e405de867fcaba25a7	2902	285	2	66	[]	False	False
105	4e6ace661d03cbbef83b0b985b2cd4ed7c99f803d16db003b83757603a680e11	3261	291	0	49	[]	False	False
106	b607bca2536a37fe6886a904d41860fd23902b0f7bb5a2d4e033a8f5b0b90509	3084	247	4	45	[]	False	False
107	7b19a041c80dff5034f39eff1479adf2f001b39193cb4ecc6bf510a3d85d75bf	3051	231	0	39	[]	False	False
108	0176a160970f0db9a44cdead202e7d629d21bd8c5a7256b5ab694d730121f8d6	2570	191	0	31	[]	False	False
109	60d486c3692d6546e4f464dcce1582798dd0f7850ea73ab474f5a392c978dd3d	3488	264	0	35	[]	False	False
110	2560d690d9e239c31753fb38dbaf04396c895ed6ab215ed1f1fc4f5395a4e08c	3437	337	0	55	[]	False	False
111	62b5aa7731ab954725daaa59c2aa9e7c132289fcc4aa2cce0b884de1b5227d46	3622	248	0	31	[]	False	False
112	3a6d6f4155368ff507fed8b4da4cfc01bc9555814b57f1c99f3aad13ac04a000	1758	136	0	27	[]	False	False
113	c721edfd80d2cad61fd592a7af2863cda66fc047350e359e196f374aec616fe0	3123	291	4	39	[]	False	False
114	1ef793a5d38f238913222aa3d686cc07a3bc6194330b3c041d3acaff3b40ce3d	3796	296	8	35	[]	False	False
115	4229a07f77d285e3c7993c590a22189d24f86672fbd6e2f9540f9b725ded1ef8	4395	500	5	69	[]	False	False
116	d2c4eff538b25b7f9cbd1aa8a9627fd7df01b200856aff53ba7f5815ad741daf	2679	275	0	86	[]	False	False
117	a3111f2a45cf5aaee0aae5d0a86278d2ca9431a8a0d8d79195ff0becf8220dc7	3722	397	0	98	[]	False	False
118	248c60ac3acd6e2fdaf68a3dbdecec93ffbb5aaf6b5f7bea400ed9671c4f44ac	4396	473	0	57	[]	False	False
119	d9eb10061c1b45e23b3becff5ae34131168f4a33ba00642dff6d4b931bc9eeb4	2491	295	1	55	[]	False	False
120	1cc2fb4fbe587744933454de727cc60bbe83951cd3f05b81d0c32732c915bd4d	2461	180	0	47	[]	False	False
121	54d262a6706b00d7c86bb0f7eb7cc444843ed52ac4fbba669a397e0d6af94ecb	2106	180	0	33	[]	False	False
122	4514f132ee6bfe65f89641708f4133ebe8d7d793595df72b37a4acc0445dd354	3355	223	1	55	[]	False	False
123	06e17716afe671a7fbefc79f44f0d8c80083fba172311855e590c186c5dfd1d7	3084	289	0	50	[]	False	False
124	9ba4079f9d3370b692ac23f9589382265ab672ad3775a34de137038ae384df0c	3355	349	1	59	[]	False	False
125	0ef4250157d653c1f7634c72bea8739f5a2e847a3849258e3cb09ee9d98b6eec	2806	311	1	51	[]	False	False
126	e3ff18ba0427d5399c77a4443e679ade82e9a808c959c4d0efd806ae0a221a55	3640	326	3	57	[]	False	False
127	37ac32103cf966d9457e8945bcdb727d64db1c8bb3885806d02c919e0916cc0c	2960	304	1	51	[]	False	False
128	858097be71ef6ab24b2ffa2a9b35d848d50f3f70edeadf38dd57e87b86a362b1	2973	347	4	85	[]	False	False
129	d38abaf3d5f87ef381a1b52b8ef527db689b0d388a1412786a8807f64a5ad3f1	2529	326	0	63	[]	False	False
130	eb3ca81c75e6416335d84ca17c914cce48b82999ac8227786459b4e36a145c4f	2326	203	3	47	[]	False	False
131	7d03c399bbb4d6973dc2ec688f26f1cd1cec42df3b7201b17695785e1c36aff2	1418	138	1	25	[]	False	False
132	c7fe2bdb3bdeb1e94f82076c5019f79831222d8fe8196606012557ac89ef7921	2624	260	2	60	[]	False	False
133	410565236c6a3e04960349f8cfb33003e11f3064e60e91009fedd7a1ff1a88d2	3177	210	6	55	[]	False	False
134	112f519c417805775e11b90f0e738c9cb41dedf081bb016a55cdf4a10628f540	205	15	0	6	[]	False	False
135	3d54dd3f9248379c4d4879517d4b3396df2ecc66dedb68985d02ee17912a98e6	494	59	1	17	[]	False	False
136	821de5275ba672948abe62f4c7725cb4028bc74c686f6f2b989e41cbda9399cd	2654	274	2	73	[]	False	False
137	7155b087dd9aef8db63aeb585c43a9c07b8844c5e500c867ae1ab49aa515d00a	2492	271	1	65	[]	False	False
138	9a0d1cbb6d6c55705f2ba34a974033499e4ce1094a7da0cc592cdb9ddc5b403c	2945	196	0	40	[]	False	False
139	555c42e6f48a95e0967cb212b6536ae192d68f6179e281d552a3f635699b6b4a	3185	342	0	63	[]	False	False
140	2574c5e326ac219642b3820e97c603f03278367183552745e54b37af60489d9b	2533	257	0	49	[]	False	False
141	ed56d4f3712b27fa3ebb78a9cf20049f153d890b5c61ed230920a80f0f225aa3	2316	225	2	37	[]	False	False
142	7200104bc3358cf6d501bdf1003851567de48ccb46082d61833ca3e96a915a1a	3284	219	0	40	[]	False	False
143	b7368283ad3c0ba274babadf35f02d457e1a98bbe3c6a7ab6d3b042c0718c443	2117	192	0	32	[]	False	False
144	6cdcbfe9322591c5f6fedd417c59f8e73fa27b340c1b7ff024d501105d38f755	2896	260	0	75	[]	False	False
145	691f0bc4a781f8cdd89c2ad6e63e61464187e0f6d77207d977924bec85657897	4050	476	0	109	[]	False	False
146	fe9ff892fc0d6ecfab5e75bfaa7d21a6bbd30e698a8b3cac772d30ee4aa8a185	3211	349	0	68	[]	False	False
147	f21ab85cbceab7954e69b7941ca2e45af81d1b6e17f4e6ccc195863adc44fec8	3405	390	1	102	[]	False	False
148	6e8def69e96efbd3439d62b04bde9ac537d9cea00dc9bd924871a5485fc42462	2971	294	0	76	[]	False	False
149	265e9e48dbb1a8bcb68eec723a3b7f42e19934b1d00a56a554e39d96178835b9	2890	266	0	74	[]	False	False
150	4a12ba02200ef16a28ba8c942ec8e6560166d740f4375834d9b8359205e4bdf6	1659	175	0	39	[]	False	False
151	30322b0204589ce70c3d8fa8fc9f2487f6b6dae36470aa17457daf1add1d07ff	3515	424	0	80	[]	False	False
152	93b7bfe647ae74550ded8ee2281b776ae71ec6dc2e497a4c4717bfdd1afa3d34	3198	311	0	76	[]	False	False
153	58de361d7d1cd109149b854574f8690be5ee207940af085470d0e8f46ed8512f	2936	186	0	52	[]	False	False
154	17271c9ce081c86caef22c353ecd3739716d5b29db53ec6282b82e7297e134ff	3893	350	0	87	[]	False	False
155	175012dc20787ce921f9b746874425f574edf3fed9c411f72f7be1e8e6cd0e36	3659	382	0	93	[]	False	False
156	ece48a5568c0f8c5508874cae3b830f8ca388ff6a271aa9bbc57820a76b556fc	3560	354	0	105	[]	False	False
157	f1f4eaf55a7b82bbeeb99ba503af65b0a66e45eff67bf3dcae03263bfe53e8de	1921	132	0	42	[]	False	False
158	57a76928edc43490dfca82f578df474c309e66a744ee8f836054c585c5803206	2221	227	3	42	[]	False	False
159	ee1822c35532f760e7fac23708942e916ad53646e281435681d9e61657d66fcb	3899	485	7	76	[]	False	False
160	45fd2acaea2ac64c1d14d6ba31e5df3713603b9a072c33a848f1a789fb4ca5c2	2230	234	1	25	[]	False	False
161	64dd8faa83a16b0a9a1ce2ca3acbe3df7451427ca1ddfe3c8065ba85bfe2b205	2684	338	0	52	[]	False	False
162	09a136970fe8cb2531151d6034207ea1a0e97e27d40eb7f557514c77ed1be62c	3167	355	0	80	[]	False	False
163	fd595c11779270af80e7afbbcb2e0688837b969626fe0b3cd30fc7dd7771f195	3788	230	0	43	[]	False	False
164	7fb6ad1cefd3126fffe72c737f58702a6c35b3e0b9210af285b8497b2bfcd937	3550	271	0	57	[]	False	False
165	8c866a0f33499463163d99e3b4fb6f9879473b34b803d40b704a6a0ff36b6ee9	1588	179	0	35	[]	False	False
166	d081147f3ecef52d5ccd1df585a66359ee6e19e51a665b2fdb95fd6c2a6a844e	3055	341	0	63	[]	False	False
167	a50c3ce5ade184939c9d1b0116e3c75cec9f3960f64ef3d576e324a870caa062	2793	296	2	58	[]	False	False
168	083092df3f8db28c4f3e5de719ce85fc02371b6614bb9ebe0ec14c1dccfeb858	1929	196	0	43	[]	False	False
169	0a4bf6d6dd11d82cbe3ab21a153af77632f656d19ef45df0468427ba037dae55	2830	369	0	62	[]	False	False
170	5b480f4f1cbf9904409c6f573ce4ca8dd633dc47e4a3146e2eee5389b2de0a4f	218	19	1	9	[]	False	False
171	dab1e1e4623a0609ce9b185ff21f4999d59a00ce2e9a113005aefe2322440017	941	109	1	28	[]	False	False
172	88dcd32a1274700206a4426ae396d77fa6a61c03b314c357046635f39d53039a	4539	527	3	147	[]	False	False
173	e2dbe2635caff68fba85a70b2c82a5b3484acd4f5d07315e3a092686c2f9b15d	3897	460	3	141	[]	False	False
174	cc4e9906352ac42baf6bd1514b4d7ecf827e3538b42e4d1841881db9b893144a	2507	220	2	75	[]	False	False
175	ab4774319c947b4c3306bf8971f5e616443c141b10316bb15b4afeb54192812e	3088	313	2	107	[]	False	False
176	6af2d4ddba329c9933e0d62fd3e0c73fdd2f24e4ed0c8f9e0c98a2f84ed51ace	1400	111	0	30	[]	False	False
177	f577ba156c44236e873c2b536be890ce53e3af3bda3dc62174f8e5bc138a395c	3032	301	0	99	[]	False	False
178	c79785f0c18c8987a9556fff9842378a328ba748fd1edf4867951e3dc78ae67c	3885	308	0	119	[]	False	False
179	c3c211c6e01ad79c55e8ec9be63190363c8e92be1146ae6e1a863360f2639417	880	16	0	6	[]	False	False
180	55f4ca5fa6e942557e8cc80d9bee50917c8c01943fd81a91d64e5659d1df1d65	992	15	0	5	[]	False	False
181	41919c4672b28fcc600b584167cb9416ebe2ddb9dc4f482562a3711dcae2bac0	3031	368	1	106	[]	False	False
182	c6a8c12f430b479be51aa8e72904f9b7ad1ed0c4ba18fca19aa6c84a2185ceac	4174	469	3	98	[]	False	False
183	1c7047aa0b4d36c22a4a1c6041d593ed00bee65f1c23b77ad165e4cd40138f21	2287	272	0	77	[]	False	False
184	c50fa1d5a55f6b5adf69c56c5a1ac3ce9316025c7902931957eb7f7b3a9232fe	3613	381	21	148	[]	False	False
185	a7f50c7e884b77bf802d4042122f295001ee3f830da2a974bc0de162e47cb64a	4321	250	15	95	[]	False	False
186	f7f600b37bccedc1590347d3af2004dc97069b0e2739adad186960cecdc1ee8b	3724	387	16	141	[]	False	False
187	913e2fa6427751dd1ba141f890320d35c281f423f52f7ad1800c8742105f3245	2222	208	9	68	[]	False	False
188	e8c2a41e866b4fd9c151900c1d097f4b0ccb069e92a76b200cd6552d996216cf	3627	383	7	93	[]	False	False
189	1b9f7cf491bce63f63761c82dc7f320646d843814434992302510c1514a7e930	4114	463	20	135	[]	False	False
190	fe5585eb62b104fa6dec710519ef8ddeea49b02182cc00eb9279ebd2c09bba33	4751	545	30	149	[]	False	False
191	ce098beeb1b23941c5c473fc136d50c2a91ea4e944254aae40674350e96d0fc5	3148	392	15	116	[]	False	False
192	28aed0a1823a75fd8c523fda1191d3926aae9ecd19fe3ca8a7ee80ed9ac36958	3600	418	2	99	[]	False	False
193	b492fbb1c1cff352a6e9ad985eb2baefb4b9081d609dedbbaa76e24df002e42f	3883	498	3	147	[]	False	False
194	1497ed1059af6cd650892b48c7cca3a28bbd22effbeb48445ba0a6d48c368620	3871	417	15	137	[]	False	False
195	e0e5f5c0f37487ae1bc2c9387e4c34d4a70a41b9565e44b0706c7c08d9d67cd9	2429	290	2	89	[]	False	False
196	c6df0f0e839423c343478837b1e8176e4d1a2248f96f0a36e65fb45462d5507c	4061	400	8	125	[]	False	False
197	c11f895d13c07f7b41f20ae5f5940100256e14ec1b405fbee5205f5d3a32ff35	4042	502	11	141	[]	False	False
198	92bda71b5f3761415f64381fb72f8fb4768a77d13a79dd798558176bbb29b92d	2002	218	4	70	[]	False	False
199	8fa7554e5eb657a189edc721bc82d46e5a4fff92f0c64c406e150261f45c92b6	3180	314	3	114	[]	False	False
200	b05a24ad6a13cd135b71b1bf808a6dd4e4135ac74c6016acc39ffc03f1da6785	2294	212	0	51	[]	False	False
201	253f5c10a212dd54ee080797bf8e322bfb57c552e4140ace92f8ea4f8adcb7e4	2133	251	4	74	[]	False	False
202	e9b6f4d4a3adb3d1797b1b7b9ba72570907c3c0930fe3524ca104d0dd8135211	3075	269	2	81	[]	False	False
203	efdc8080ec538d5a2a1f4ebf1ffe2874bc44e946b46b38564c144ab375a705ea	4082	517	3	137	[]	False	False
204	92bfa5d57ed9a811c3c485618a821822cfb76572d9cbdc26863a3d4b55724d39	4160	509	2	125	[]	False	False
205	fcb8a3c9bbf7b3d1dcc1de1881660b9210c7f647fa4bd20e6700ab3b7b4f2fcd	3773	491	7	120	[]	False	False
206	e34d4fb8d9bdb417eb006cb807884df40c516a0fa9b9a0c12c9785bb8e2b4e6d	5080	554	17	118	[]	False	False
207	4b08b44f583d6a81e2f40f43f21fefda037cbdf63a256a60e4d104d1a2dbb934	3269	356	6	93	[]	False	False
208	2ca70625e32e2e2dde9cdf6ee32fa91d6904167e48021973586211c38db45ee0	246	23	1	8	[]	False	False
209	07bffd64f4f21325aac86671cbe375abd15336649fa057a1726202208edb2040	754	94	1	33	[]	False	False
210	3d39022b3923b04f63cc656124aa5b60d6384b53028247cde316af94e08c7b5f	2169	216	7	106	[]	False	False
211	5ef930098054334ade37f80dc6545d3ab00a3de00505cd91c0ffa1d5845562de	2672	261	12	100	[]	False	False
212	68b1e4d6bd8d0d29c979a79b84f3f4a3da38eb343a3e636e37ad76311f5bb69c	1754	176	1	55	[]	False	False
213	5e6f3fade3dd69f46d534459fa52d4a3ca22faf612eae7c292feb75603cec246	2927	290	2	96	[]	False	False
214	5bff0050fefc6b0f3501de72b36fa85f2aee620580f1f3bb199c0cb4650071e7	2336	287	9	102	[]	False	False
215	d2fc7153331b004728a43fe3527cb63c5629829b4e1ee2fef83f9023c4a251ae	4187	332	1	97	[]	False	False
216	26b4ec8029496212b88da5b13cd3c8ca2b71324d2def0f2a212530ea02a9fe26	4259	456	4	119	[]	False	False
217	5f5a882a376f6099a9160d004442d19a12f8549bb3fdd2367c6a647996909ae7	4580	548	10	136	[]	False	False
218	8606fd800a201d30b0a5044666999b973ebc1db79eb6b0b8fdef4a4b6b916307	5072	564	37	120	[]	False	False
219	5ddbd3158f992a38e5d2d20d7450c42a7f51555467593c7d198c1d2328d16e08	2655	328	8	89	[]	False	False
220	869ceddaf64c80436f96608149c77010396d968b3ac7cc3ee612197508b7fb8c	3074	272	7	120	[]	False	False
221	13bdfe2f4cd7944233151403cc230c4aefb8e8982b2539e79fbc42e77945e764	3024	277	5	98	[]	False	False
222	b3159513bc67fa67272576b3d3af810d7c06bc1e7d8ac3f1b02c9d20e99bff36	4544	407	6	106	[]	False	False
223	b974d511c99b763b58ad4b5beca4374f5a705ac9068a24a895c268dcfe58780d	3604	355	1	128	[]	False	False
224	aac1030702c862ab6198fb2782980fd548bdc82ad55c91a0aca2b418096700da	3715	326	2	84	[]	False	False
225	9c797fc82fab93dd776632074ed5bf8523ea587a4b76701f72fbad736b138fdf	1944	214	1	55	[]	False	False
226	ff0afac858779a13ff556b100dc0ff2ab88d877130ab74fff229c3df978901c6	3530	339	2	129	[]	False	False
227	d4b39a629b922f97bfc08e578ff49c62bd60200b2e96f5a347629dc0b61f43bc	4301	362	8	99	[]	False	False
