page	text_sha256	characters	word_tokens	english_heuristic_tokens	indonesian_heuristic_tokens	forbidden_matches	heuristic_suspect	untranslated_instructional_or_exercise_prose
1	5e0b8aabcf4c2e2e2ba3af6d63f73699cd506b23049f40457f75106013717e4c	498	32	1	3	[]	False	False
2	40a8d657720f13c75eec85532be91b2d63afb2ace74c5842d119dd384cf221f1	1137	145	2	27	[]	False	False
3	9c6aa8751d8662b5e6dbcf7bba395877f6782bfab7576f14735c2deb1257841c	3428	106	7	38	[]	False	False
4	9102636b643f32e75259a8fc2fe00805af68aab48900ce580db0a68db174de2f	2505	306	11	81	[]	False	False
5	31d49866356adb748c56e1290abc3f9be725cfcd2960517a9043bdd2c94b91f7	3299	420	5	67	[]	False	False
6	deaf048ff91216d09c7ece4511980263398adedc94d9bde152d4ebbdf51a4916	952	109	0	22	[]	False	False
7	c78243a20848322c1a9ef7c64330fb1310d59fe9694cd3c5aa561b84ca166507	224	19	2	6	[]	False	False
8	29ace64d7d3a66b5e8969d1901b8297e49c4fbbbf053bfbf69aa5ffabf291cc7	599	76	3	20	[]	False	False
9	32b97d37db9cbdacf88e6999bad321272fb14fc36612cad8e82965ba2c232b78	3888	404	4	94	[]	False	False
10	080347d89129bc79b7a990e1f415815ea52ee390b677ce7e89a77145a6cd5134	3205	366	4	92	[]	False	False
11	ae539336606f364cb62f9ce32124ef99cbdc5a711c8d9eeef09e0f0d6f4801ef	4479	479	12	92	[]	False	False
12	a979496e9983d6f3a516a02a4f9da83f2bb850f3176cf7d0ab2e4d0dae9a9910	3816	339	19	67	[]	False	False
13	71625ceb112b4761312daa76253c2bc3b6ccc162e2115a0cd61d083bf150b32a	1896	236	14	61	[]	False	False
14	c07a7647ccfc9f5a940555973b176cb5eeb55d0694dc31d895ce9ffb7580c16a	4321	228	3	30	[]	False	False
15	465140b77a0c43443a8f878393607dbb52b35ec99b0e572ce8db0510bdbcfbd1	3808	431	5	62	[]	False	False
16	95c37a1c5be4df1cd9ce644abd94db37fd102420483c3df65ecf3c164617e4c3	3594	345	7	59	[]	False	False
17	ab5748fa78ccbe5c74d7f3b0b4fcba76a12d4b915d36a21de148a76368b94858	2708	285	2	48	[]	False	False
18	f65db6d2b1a4fce14925b73179d7f052b7c361b074ceda199ce32742dda6a168	3569	400	5	77	[]	False	False
19	42c212a45a2133044173430fb5762910c6c73a32c2c77f16d5ee4d554100fd26	4372	544	17	94	[]	False	False
20	513cfceb596c8cfdf789b4302ba87e2a441130269c5f5d8033893b4b24d92e77	5433	545	25	93	[]	False	False
21	aef574c8a4731cce967e60bff9589f778218299c22a4c9d84e5c501abcabed4f	1836	214	5	29	[]	False	False
22	1ae6f27b94646a08d71d8349f3399e0bf4de6b82aaae099d6fac8dcb596cc116	3601	427	9	95	[]	False	False
23	3c6a0f41ef453ae0a5b36dd668be53162cc6aeff1e654954a48c4a3a97b2dc6e	2175	231	1	55	[]	False	False
24	efef4cb783c6809abb0064f837f2b36b9511248b13743869d26e660c9081aff4	3018	322	1	79	[]	False	False
25	18044b0b0edd4d243b4a61bdbda8cfef6197e3a6c5ffa0eb892b33920a98d342	4145	468	6	87	[]	False	False
26	506fd4a73ef1d7ed6999dbe31e68d6a695e4f9d015d9de8298b1bbfa87f5c9dc	4633	563	11	131	[]	False	False
27	175b53d029808bf6539f3714785eb7c97977a36b5dd09a0361cbd05f5cf1b451	686	56	0	9	[]	False	False
28	e73108b653545f92ec43ee66a11b72a691b143d9b96eb6285c189d12e10174ba	1576	94	2	21	[]	False	False
29	12a98c3c0ec1d2d7619eee120e8648192de2ed8f3f141f47bbfd7f7973f88717	4395	556	6	133	[]	False	False
30	66dd0aa6cd82c7603b6461ae932ee74db837febb5703d822a220b8ccfd66f750	4757	469	2	93	[]	False	False
31	406d0256752eafefa82da0067b5bb41e23ddf09895879fbe95ae19694eec2796	4747	603	9	115	[]	False	False
32	e075257cc48bb891b71be8ffea22296b78c5d88589b4986ec9ea20166839a69b	2503	294	12	48	[]	False	False
33	343ed27a6ff4786b4271ab7560682ffe717b38a9480a3023b208a48f31d04f61	3734	454	4	89	[]	False	False
34	8f06a72815f85b7fbc80c3db7e02f859350e531ac06573219d8e4c0714ecc8f5	3505	76	1	11	[]	False	False
35	b26dcc29cd483bead0f6f2a3bfffa6d80a4cc0b40c24eeb7be793cd5a85810bb	4820	597	0	102	[]	False	False
36	c5d0d1b5cb671b8ea3911b56300be1810ebf3ffd23462750740b6e3b5e9add9e	4822	575	6	108	[]	False	False
37	e43126b416ff748be824f153e9e8e0dcee31c7764944645654d9d042e12e9eb2	3927	489	7	115	[]	False	False
38	7b5ad58ffb263c3a8c040c581671f1fee77ecd9ec50858527e6018009838cfc5	5175	555	8	92	[]	False	False
39	ba790ed0012cbd260c48f8e684093c1919c50858372948beadfa15d99ad5dd35	4878	431	12	64	[]	False	False
40	7f11e0ac7204db34241887754671cf5a1697b1fa11b4750cf91780ab91c33258	152	13	3	4	[]	False	False
41	454ef601116def7071784a54c17440acbea679603ecf52b4eb70ceb6736a57cf	677	87	0	22	[]	False	False
42	be3f028833fa8906e2dad1a64cf43af91122a3fa7a682a8fdd1056d33d583c67	2761	275	11	61	[]	False	False
43	9ce1ba93cc7c4b69a2be6507a4808e83bef24942697f8fc5fb349e4e1ae08b9a	2434	202	5	42	[]	False	False
44	a0cff31689e2610a63be17c62ec072c2a5a138b4ef529768183f79d04711f172	2984	281	6	76	[]	False	False
45	dcf048bb88cd4a8df0acc4e26b200dc7f83256903f1465785de364cb6bbd0060	2925	336	3	73	[]	False	False
46	b8ba7eb0834c90ec6694d9738938217d8afaf2643fd60c631fdfd5c5ee8a70d6	3301	331	17	74	[]	False	False
47	03c826d6c27c66a0f9a736a02955ddc39762c60db5b18873789023ad9eea929a	3512	460	16	104	[]	False	False
48	4cd3261311d3303dc9c40c630cd02be90db7486dfeb4fbad284e50065cc85c79	3405	239	5	65	[]	False	False
49	9b2a69ecffcc2b1d1d5644542fa56488569da2798882370523635b0961988c20	3357	384	4	103	[]	False	False
50	5a5ba722f8a7fe88299b3013bb519fbd3247e6e67d106ba501b7eb792406d696	2066	137	3	34	[]	False	False
51	747945197ee4c09bea562a71e73f8f6308f63ae50d3dcbf0eb1b17e1d18f6ed9	3449	443	21	99	[]	False	False
52	9b0cbbac2692e13b6c30fe3a1097175cb07bf786290801273de90997f474b9a5	2948	211	10	50	[]	False	False
53	e80c4d55de9e48ce8c5455890473de3778a7b23ce505a17f23664d047b3f32f2	3125	295	10	67	[]	False	False
54	e592afade9443ebd9de9626b1c383542851ee4e6d348df36c138d4d8c485e6c8	2999	210	10	51	[]	False	False
55	45548a2fc748c2721781b4643185ca13ad36d1e1cadbaed5447ad967cfbfed4b	3173	315	5	58	[]	False	False
56	e75e2c9a06724e5ea55e4722a95f3d6f56eb55738445b2aab75570137acb0c91	3829	218	6	31	[]	False	False
57	4c2d5394015d9e85594f6752e086a1bb4adb7a0405d11e77df9cb3f1ef196291	3774	402	1	81	[]	False	False
58	b327d55e97fb814015429dc27ac7c768255f7ffffa18008ff08e39af4c291041	4702	236	2	62	[]	False	False
59	8c4c5bf46287eb395b4256c6edbd5edc4b03cf138a9da37769d091ef5397dbdd	798	94	5	18	[]	False	False
60	7a4091bb5dadd4d493f99f839e581abd03767061856674c15840d9eed4a466c1	3553	296	2	52	[]	False	False
61	4819866c342f8b7f67d1977caa52709be1f8b2987ea518db15947dd7d6369b47	2998	200	6	40	[]	False	False
62	eb830dc66f087308f2a1ffbd3947f505f29e1326154faebb682c0fadce57e49d	3057	276	9	61	[]	False	False
63	8786ad0fa97cae9d5f39e613438853e49b652d96777161bc6b9f4a401e952e41	3623	280	1	58	[]	False	False
64	141442071a5b72e7af7fe3e85526e644892c7517cca27311b9b5e7a6e7335eb0	3088	330	5	77	[]	False	False
65	b64c9df4106dfb17c8b7307483b71284950bfac25fd0f1bbe508d0ed4b8a9431	3536	431	1	79	[]	False	False
66	7995b4f725e0f250f9cd7c0ee82aa977d6668cb5943fb84d178ea9b0c6189fea	4301	272	1	38	[]	False	False
67	c2701aaa4d7500ba40f6b345d90c21ceb234b1b33be14bb7f38bd59d284b2f1b	2202	208	1	30	[]	False	False
68	e338226e8289c2a56979e91bf7d3aac9820e6f9062f80807aa6db502b729ff28	2112	158	6	41	[]	False	False
69	52287272e2d1f32644902b25510294c3236ae014045e8bfbd8bb805b77b0e4fd	4220	161	2	36	[]	False	False
70	97628aab9ddca56bdb4ef050c5421294da8810072abf2d3f7307431e88b13d47	5057	411	7	74	[]	False	False
71	7fd0836130a24d7df3b9b5985b677b2aa11d9b125fd9db531d47710bab708132	2023	214	7	23	[]	False	False
72	e16c741d8280b703fbc9b49bad79c7474c33717a4fec57a517d6abebcf4ccd33	3160	318	2	63	[]	False	False
73	3eddd54a5b82314f2a140df0574627d784a41e99722ab52551e256c5cc60a751	4017	514	7	118	[]	False	False
74	a84df09c6e0833f8490536fab8e6b139629700b059303b6e1b23b98becb3b4ab	3479	315	2	68	[]	False	False
75	6dabd4e5eb7e14a88a4ff8a4896d68303fa5b0af072a5380a76a55d17d5ad6d8	3324	388	0	78	[]	False	False
76	079bb56ae7dfa978e9942388e56dc2fbf68643c5cec956a25635c96f397dea26	4986	495	13	103	[]	False	False
77	1d28dd8f1f6f01ad32bb7ed246679e7deec9d9c45fedf7cce15005612415d548	3925	357	5	85	[]	False	False
78	298386e576eadc255e9edb704f89eb663e1c663f1b28f2ccec14baea2e25bd50	3777	324	2	72	[]	False	False
79	0b23c9bf59db607e2e541d7a17cc078541f1bb9ae2f66c3e921e21ddb73b126a	3675	198	4	49	[]	False	False
80	cf855cb63584fa2b428abfa37c804fe2e829052cd40724e7fffc967a6914e3a4	962	47	2	10	[]	False	False
81	670f9ac2ebe380577b2272f14ad7da2e8109086ee9b88be080559dd0e0961490	215	15	0	4	[]	False	False
82	650085f48669d4b018cb74a96b850d31914f273217515961850a1e642ab2d3f7	658	84	1	17	[]	False	False
83	ca9b2840169f1b8f6b62d342031237eb68f645c9c9f06fa7ca6bb0fdd1eb574b	2065	236	0	53	[]	False	False
84	3c781646e5232f6f4416b7e6d96695ff983894efee9fbbccaa24475bd3aa6a00	2681	236	0	45	[]	False	False
85	02af95cb6e57af71d0577621a1f7791f988b9d2e6a79fbe2a08327932caa0052	3134	349	0	70	[]	False	False
86	85de61a431fdf01a8b696ef8aea92897eef925bd449aa9605f2c5c2433bcaf55	3619	315	3	77	[]	False	False
87	66521678ce8f7134b96759fc2350a5d5c0c4ec4f4d1f9254329f651bf258515c	418	31	0	9	[]	False	False
88	c26106d4744c15c4edfe18392616e890b3f5fbb80947d48676ea0c3c839f1841	4304	332	1	60	[]	False	False
89	1104842e3a2a3cfeea1b9b6c181673f9814525f84ec17cf19020ae2fc17cbc7c	3326	285	2	66	[]	False	False
90	1570299ab63cd6990ae3cf6b87440b9746b13a3a88104f537f7229c44cffdb61	3048	188	6	35	[]	False	False
91	93c610b686f8aed7037f94ff749ff9f4ca0af55cdee9f997c5a5d9efed637fcf	2715	224	0	46	[]	False	False
92	710538c820282c572e670aa9943a00e3bb80014776dc4900f2bb93e335f253aa	3282	303	0	53	[]	False	False
93	5c9008a8b00267e377fbc1427afd3e503990bf7bccc06bcc155e3a6df9b947aa	2747	269	1	45	[]	False	False
94	a24962f4471395ebd02407789896e433f025f49fe50c1d54ad5b0724412832a5	3160	296	1	63	[]	False	False
95	2f33a7c37640d69b8b7ff031f8d486240c368c34a4760e11166da9b70b2621aa	738	64	6	17	[]	False	False
96	12ea8543917a1335049c11a1dbc5e4d6dc7af9545999fbb9f4c8fa190a1b861a	3365	381	3	68	[]	False	False
97	03dce7264e66950a368e359f6e3b268bdf170f575511dc14ed2399a30db3ca13	3267	395	6	64	[]	False	False
98	8acdf042709995e88afa821add70fdab7bbcbb7e18785b28a4903aef249a1305	3271	302	7	44	[]	False	False
99	fc8a52aaa4634e2556aa8036f7db2b358defe75146280b56bc9ddffd6e10df33	2686	229	9	45	[]	False	False
100	8b2cfd73ca7f0c760bdbcd4298511989a6a3debefb3e5d9b82be79af8d0b7301	3285	282	7	68	[]	False	False
101	9ff0c9ac58d6f055fed66196b66db3b2f5fee8423cb62a1f8045d7ba96718edd	3656	347	7	86	[]	False	False
