path	role	action	rights	bytes	sha256
repo/ch_probability/figures/bookCostDist/bookCostDist.pdf	upstream_figure_source	localized_label_derivative	CC-BY-SA-3.0-repository-declaration	4373	b6c2d6e56b3bd7ce1d8c03fd826bc0c610e6989b40227af8e548034b163d4d06
repo/ch_probability/figures/bookCostDist/bookCostDist.R	upstream_figure_producer	preserve_source_witness	CC-BY-SA-3.0-repository-declaration	1613	e7ecc54537b58a1239f2f829685ab83c6896e273a8e0fd3781648394f70c97ea
repo/ch_probability/figures/bookWts/bookWts.pdf	upstream_figure_source	retain_byte_exact_numeric_only	CC-BY-SA-3.0-repository-declaration	4295	61d583f6f7659576f725161c04480e293d4f8d1eb9498dda8654e5fb6a5c9620
repo/ch_probability/figures/bookWts/bookWts.R	upstream_figure_producer	preserve_source_witness	CC-BY-SA-3.0-repository-declaration	890	9c3a398e001fe644d5607928e1fbd437c900586eb39ff5be624bec4836cca600
repo/ch_probability/figures/contBalance/contBalance.pdf	upstream_figure_source	retain_byte_exact_symbolic_only	CC-BY-SA-3.0-repository-declaration	25250	ddcbecb1e43d7f3dd0856bc99d86138eb78838beeb5262ce37cee23eecddddda
repo/ch_probability/figures/contBalance/contBalance.R	upstream_figure_producer	preserve_source_witness	CC-BY-SA-3.0-repository-declaration	495	0f4de2ed0c6e1ae754311a715e98ebd0359cc345a0b91228fd13303672f24359
repo/ch_probability/figures/changeInLeonardsStockPortfolioFor36Months/changeInLeonardsStockPortfolioFor36Months.pdf	upstream_figure_source	localized_label_derivative	CC-BY-SA-3.0-repository-declaration	6740	b19b74aeb3153029221ce6cd5294704157d5e669044ad07054f6fac64b1e4363
repo/ch_probability/figures/changeInLeonardsStockPortfolioFor36Months/changeinleonardsstockportfoliofor36months.R	upstream_figure_producer	preserve_source_witness	CC-BY-SA-3.0-repository-declaration	658	e44624d3f9620550691fbd6f1e0ea3db73caaf95cd956cc2bbe4c35b992cfaa4
scratch/b012-assets/localized/bookCostDist/bookCostDist.id-ID.pdf	localized_figure	use_in_b012_reader	CC-BY-SA-3.0-derivative	4769	b127e803ddb9c5b69c098eea2a0c6b7a8e4f92ed21188f73282053c23e0c6cd9
scratch/b012-assets/localized/bookCostDist/bookCostDist.id-ID.R	localized_figure_producer	publish_with_derivative	CC-BY-SA-3.0-derivative	1616	c615fb742ac5411691b5357ac439c431e03b54db35d2a0bf75ca660fc703b5a2
scratch/b012-assets/localized/changeInLeonardsStockPortfolioFor36Months/changeInLeonardsStockPortfolioFor36Months.id-ID.pdf	localized_figure	use_in_b012_reader	CC-BY-SA-3.0-derivative	7116	f92cdbe188a71d17b58b303aeeacebf5958f1a6b34a74adcb56cfcad230283b7
scratch/b012-assets/localized/changeInLeonardsStockPortfolioFor36Months/changeInLeonardsStockPortfolioFor36Months.id-ID.R	localized_figure_producer	publish_with_derivative	CC-BY-SA-3.0-derivative	670	1c82e83f05643a4d3ef76c545f74bc3c88cb415bfb5cd72b3ff1e6bc097dc759
scripts/localize_figures_b012.py	deterministic_localization_producer	preserve_and_publish	project_control	8419	cdee9faa90a24f57d4d214aa82b1adbb8c17bc85ffb19c988a48f25db8309e7b
scratch/b012-assets/localized/R011-B012_LOCALIZED_FIGURE_RECEIPT.json	localization_receipt	preserve_and_publish	project_control	1994	116bedfa8abcb93953aa4a1311bce5a9b49ebeef9f48041a97d60296f7cf05a2
